conversation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,intent        ,products                                                                                                                                             ,product_count ,conversation_hash                ,model              ,timestamp           ,turn ,language   ,openai_moderation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,detoxify_moderation                                                                                                                                                                                                                                                           ,toxic ,redacted ,state            ,country       ,hashed_ip                                                        ,header                                                                                                                                                                                                                                                                           ,include
"user: Provide me top products to buy on black Friday
assistant: 1. Electronics: This is one of the most popular categories on Black Friday. Look for deals on TVs, laptops, gaming consoles, smartphones, headphones, and other gadgets.

2. Home appliances: Black Friday is a great time to get discounts on appliances like refrigerators, washing machines, dishwashers, and vacuum cleaners.

3. Furniture: Many furniture stores offer significant discounts on sofas, beds, dining tables, and other home furnishings during Black Friday sales.

4. Fashion and clothing: Retailers offer great deals on clothing, shoes, and accessories during Black Friday. Look for discounts on popular brands and designer items.

5. Beauty and cosmetics: Cosmetics brands often provide deals on Black Friday, offering discounts on makeup, skincare products, hair tools, and fragrances.

6. Toys and games: Many toy stores have Black Friday sales, making it an ideal time to buy gifts for kids. Look for discounts on popular ..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,commercial    ,"['Home appliances', 'skincare', 'Furniture', 'Beauty and cosmetics', 'Fashion and clothing', 'Toys and games']"                                     ,            6 ,4c79b475d50229168722668332e65108 ,gpt-3.5-turbo-0613 ,2023-11-11 20:17:18 ,   2 ,English    ,"[{'categories': {'harassment': False, 'harassment/threatening': False, 'harassment_threatening': False, 'hate': False, 'hate/threatening': False, 'hate_threatening': False, 'self-harm': False, 'self-harm/instructions': False, 'self-harm/intent': False, 'self_harm': False, 'self_harm_instructions': False, 'self_harm_intent': False, 'sexual': False, 'sexual/minors': False, 'sexual_minors': False, 'violence': False, 'violence/graphic': False, 'violence_graphic': False}, 'category_scores': {'harassment': 1.4907279819453834e-06, 'harassment/threatening': 2.9886293759773253e-06, 'harassment_threatening': 2.9886293759773253e-06, 'hate': 1.081427853932837e-05, 'hate/threatening': 1.1358215488144197e-06, 'hate_threatening': 1.1358215488144197e-06, 'self-harm': 4.137941505177878e-05, 'self-harm/instructions': 2.640670027176384e-05, 'self-harm/intent': 0.0003137273888569325, 'self_harm': 4.137941505177878e-05, 'self_harm_instructions': 2.640670027176384e-05, 'self_harm_intent': 0.0003137273888569325, 'sexual': 3.220685903215781e-05, 'sexual/minors': 3.631592699093744e-05, 'sexual_minors': 3.631592699093744e-05, 'violence': 0.00013081170618534088, 'violence/graphic': 3.7836067349417135e-05, 'violence_graphic': 3.7836067349417135e-05}, 'flagged': False}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  {'categories': {'harassment': False, 'harassment/threatening': False, 'harassment_threatening': False, 'hate': False, 'hate/threatening': False, 'hate_threatening': False, 'self-harm': False, 'self-harm/instructions': False, 'self-harm/intent': False, 'self_harm': False, 'self_harm_instructions': False, 'self_harm_intent': False, 'sexual': False, 'sexual/minors': False, 'sexual_minors': False, 'violence': False, 'violence/graphic': False, 'violence_graphic': False}, 'category_scores': {'harassment': 6.935068086022511e-05, 'harassment/threatening': 4.2227529775118455e-06, 'harassment_threatening': 4.2227529775118455e-06, 'hate': 2.9814626032020897e-05, 'hate/threatening': 7.561891379737062e-07, 'hate_threatening': 7.561891379737062e-07, 'self-harm': 3.208066345905536e-07, 'self-harm/instructions': 1.8637774701346643e-07, 'self-harm/intent': 1.4761069166979723e-07, 'self_harm': 3.208066345905536e-07, 'self_harm_instructions': 1.8637774701346643e-07, 'self_harm_intent': 1.4761069166979723e-07, 'sexual': 1.6515759853064083e-05, 'sexual/minors': 1.2420945495250635e-05, 'sexual_minors': 1.2420945495250635e-05, 'violence': 0.000454334745882079, 'violence/graphic': 9.628843690734357e-05, 'violence_graphic': 9.628843690734357e-05}, 'flagged': False}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  {'categories': {'harassment': False, 'harassment/threatening': False, 'harassment_threatening': False, 'hate': False, 'hate/threatening': False, 'hate_threatening': False, 'self-harm': False, 'self-harm/instructions': False, 'self-harm/intent': False, 'self_harm': False, 'self_harm_instructions': False, 'self_harm_intent': False, 'sexual': False, 'sexual/minors': False, 'sexual_minors': False, 'violence': False, 'violence/graphic': False, 'violence_graphic': False}, 'category_scores': {'harassment': 5.190941578803177e-07, 'harassment/threatening': 1.8609089238452725e-06, 'harassment_threatening': 1.8609089238452725e-06, 'hate': 1.7025651004587417e-06, 'hate/threatening': 4.21788718085736e-06, 'hate_threatening': 4.21788718085736e-06, 'self-harm': 4.3919062591157854e-05, 'self-harm/instructions': 0.00018094145343638957, 'self-harm/intent': 0.0008909938624128699, 'self_harm': 4.3919062591157854e-05, 'self_harm_instructions': 0.00018094145343638957, 'self_harm_intent': 0.0008909938624128699, 'sexual': 2.354810385440942e-05, 'sexual/minors': 2.5511202693451196e-05, 'sexual_minors': 2.5511202693451196e-05, 'violence': 8.56457045301795e-05, 'violence/graphic': 2.7505666366778314e-05, 'violence_graphic': 2.7505666366778314e-05}, 'flagged': False}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  {'categories': {'harassment': False, 'harassment/threatening': False, 'harassment_threatening': False, 'hate': False, 'hate/threatening': False, 'hate_threatening': False, 'self-harm': False, 'self-harm/instructions': False, 'self-harm/intent': False, 'self_harm': False, 'self_harm_instructions': False, 'self_harm_intent': False, 'sexual': False, 'sexual/minors': False, 'sexual_minors': False, 'violence': False, 'violence/graphic': False, 'violence_graphic': False}, 'category_scores': {'harassment': 5.445107490231749e-06, 'harassment/threatening': 7.3627984420454595e-06, 'harassment_threatening': 7.3627984420454595e-06, 'hate': 2.3177619823400164e-07, 'hate/threatening': 1.4138366850602324e-06, 'hate_threatening': 1.4138366850602324e-06, 'self-harm': 2.047387852144311e-06, 'self-harm/instructions': 1.4841042684565764e-05, 'self-harm/intent': 3.4577626593090827e-06, 'self_harm': 2.047387852144311e-06, 'self_harm_instructions': 1.4841042684565764e-05, 'self_harm_intent': 3.4577626593090827e-06, 'sexual': 6.311167089734226e-05, 'sexual/minors': 3.557565605660784e-06, 'sexual_minors': 3.557565605660784e-06, 'violence': 0.00047926936531439424, 'violence/graphic': 4.067537156515755e-05, 'violence_graphic': 4.067537156515755e-05}, 'flagged': False}]"     ,"[{'identity_attack': 0.0006860988796688616, 'insult': 0.0003306983271613717, 'obscene': 0.0002920021361205727, 'severe_toxicity': 8.441004320047796e-05, 'sexual_explicit': 4.7946523409336805e-05, 'threat': 0.00012170250556664541, 'toxicity': 0.0013144771801307797}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       {'identity_attack': 9.087714715860784e-05, 'insult': 0.00015662693476770073, 'obscene': 9.569428948452696e-05, 'severe_toxicity': 2.158242932637222e-05, 'sexual_explicit': 2.1824818759341724e-05, 'threat': 3.1900053727440536e-05, 'toxicity': 0.0003289923770353198}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       {'identity_attack': 0.0006362636340782046, 'insult': 0.00039170728996396065, 'obscene': 0.00031152242445386946, 'severe_toxicity': 6.935286364750937e-05, 'sexual_explicit': 4.9823174776975065e-05, 'threat': 9.440381109016016e-05, 'toxicity': 0.001498898258432746}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       {'identity_attack': 0.00011739827459678054, 'insult': 0.00032077805371955037, 'obscene': 0.00031139416387304664, 'severe_toxicity': 5.0163809646619484e-05, 'sexual_explicit': 3.2292573450831696e-05, 'threat': 5.040390897192992e-05, 'toxicity': 0.00024621898774057627}]" ,FALSE ,FALSE    ,California       ,United States ,22b779c2e62d60ac0459c056fd26d091de8eba07f6db824192b9dc7a08046295 ,"{'accept-language': 'en-US,en;q=0.9', 'user-agent': 'Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36'}"                                                                                                         ,y
"user: what do humans naturally use glycerol for
assistant: As an AI language model, I don't have personal experiences. However, Glycerol, also called glycerin, is a naturally occurring substance that is used in many ways. Humans naturally produce glycerol as a byproduct of the breakdown of fats in the body. Some of the common ways humans use glycerol include:

1. Moisturizer: Glycerol is used in many cosmetics and skincare products as a moisturizer. It absorbs and retains moisture, keeping the skin hydrated.

2. Food additive: Glycerol is used as a sweetener, thickener and preservative in various food products. It has been approved for consumption by the FDA.

3. Medicine: Glycerol is used in some medicines as a laxative, due to its ability to soften stools.

4. Industrial use: Glycerol is used in various industrial processes, including making explosives, antifreeze, and solvents.

Overall, glycerol is a versatile substance that has many different applications.
user: how similiar is it..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,informational ,"['moisturizer', 'Food additive', 'Moisturizer', 'model', 'Medicine', 'Industrial use', 'skincare']"                                                 ,            7 ,123b9f99f84d058b16cd29846bb93075 ,gpt-3.5-turbo-0301 ,2023-05-30 22:12:05 ,   3 ,English    ,"[{'categories': {'harassment': False, 'harassment/threatening': False, 'harassment_threatening': False, 'hate': False, 'hate/threatening': False, 'hate_threatening': False, 'self-harm': False, 'self-harm/instructions': False, 'self-harm/intent': False, 'self_harm': False, 'self_harm_instructions': False, 'self_harm_intent': False, 'sexual': False, 'sexual/minors': False, 'sexual_minors': False, 'violence': False, 'violence/graphic': False, 'violence_graphic': False}, 'category_scores': {'harassment': 3.156838147333474e-06, 'harassment/threatening': 1.5539880848791654e-07, 'harassment_threatening': 1.5539880848791654e-07, 'hate': 9.01086696103448e-06, 'hate/threatening': 4.608374126746639e-09, 'hate_threatening': 4.608374126746639e-09, 'self-harm': 2.5447382085985737e-06, 'self-harm/instructions': 3.547953156157746e-06, 'self-harm/intent': 2.6989725938619813e-06, 'self_harm': 2.5447382085985737e-06, 'self_harm_instructions': 3.547953156157746e-06, 'self_harm_intent': 2.6989725938619813e-06, 'sexual': 3.957845547120087e-05, 'sexual/minors': 4.797061137651326e-06, 'sexual_minors': 4.797061137651326e-06, 'violence': 1.2366269402264152e-05, 'violence/graphic': 0.0003215413598809391, 'violence_graphic': 0.0003215413598809391}, 'flagged': False}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  {'categories': {'harassment': False, 'harassment/threatening': False, 'harassment_threatening': False, 'hate': False, 'hate/threatening': False, 'hate_threatening': False, 'self-harm': False, 'self-harm/instructions': False, 'self-harm/intent': False, 'self_harm': False, 'self_harm_instructions': False, 'self_harm_intent': False, 'sexual': False, 'sexual/minors': False, 'sexual_minors': False, 'violence': False, 'violence/graphic': False, 'violence_graphic': False}, 'category_scores': {'harassment': 5.997388825562666e-07, 'harassment/threatening': 7.327525253231215e-08, 'harassment_threatening': 7.327525253231215e-08, 'hate': 2.0397820321704785e-07, 'hate/threatening': 9.10747643967369e-10, 'hate_threatening': 9.10747643967369e-10, 'self-harm': 3.754521458176896e-06, 'self-harm/instructions': 7.2002013240535234e-09, 'self-harm/intent': 2.4453959213133203e-07, 'self_harm': 3.754521458176896e-06, 'self_harm_instructions': 7.2002013240535234e-09, 'self_harm_intent': 2.4453959213133203e-07, 'sexual': 6.274064799072221e-05, 'sexual/minors': 2.7114052159049606e-07, 'sexual_minors': 2.7114052159049606e-07, 'violence': 8.688024536240846e-05, 'violence/graphic': 2.374207178945653e-05, 'violence_graphic': 2.374207178945653e-05}, 'flagged': False}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  {'categories': {'harassment': False, 'harassment/threatening': False, 'harassment_threatening': False, 'hate': False, 'hate/threatening': False, 'hate_threatening': False, 'self-harm': False, 'self-harm/instructions': False, 'self-harm/intent': False, 'self_harm': False, 'self_harm_instructions': False, 'self_harm_intent': False, 'sexual': False, 'sexual/minors': False, 'sexual_minors': False, 'violence': False, 'violence/graphic': False, 'violence_graphic': False}, 'category_scores': {'harassment': 1.883913228084566e-06, 'harassment/threatening': 2.159453593719718e-08, 'harassment_threatening': 2.159453593719718e-08, 'hate': 1.8262699796878223e-08, 'hate/threatening': 1.936625526610669e-09, 'hate_threatening': 1.936625526610669e-09, 'self-harm': 1.0126643701369176e-07, 'self-harm/instructions': 3.4021282772300765e-05, 'self-harm/intent': 2.3936718207551166e-07, 'self_harm': 1.0126643701369176e-07, 'self_harm_instructions': 3.4021282772300765e-05, 'self_harm_intent': 2.3936718207551166e-07, 'sexual': 3.815250238403678e-06, 'sexual/minors': 3.1627112093701726e-06, 'sexual_minors': 3.1627112093701726e-06, 'violence': 5.261516093924001e-07, 'violence/graphic': 1.10873070298112e-05, 'violence_graphic': 1.10873070298112e-05}, 'flagged': False}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  {'categories': {'harassment': False, 'harassment/threatening': False, 'harassment_threatening': False, 'hate': False, 'hate/threatening': False, 'hate_threatening': False, 'self-harm': False, 'self-harm/instructions': False, 'self-harm/intent': False, 'self_harm': False, 'self_harm_instructions': False, 'self_harm_intent': False, 'sexual': False, 'sexual/minors': False, 'sexual_minors': False, 'violence': False, 'violence/graphic': False, 'violence_graphic': False}, 'category_scores': {'harassment': 7.035583848846727e-07, 'harassment/threatening': 2.9992765604447413e-08, 'harassment_threatening': 2.9992765604447413e-08, 'hate': 2.0728834897454362e-06, 'hate/threatening': 1.2871783638956913e-08, 'hate_threatening': 1.2871783638956913e-08, 'self-harm': 3.85355036769397e-08, 'self-harm/instructions': 1.7139167596269544e-07, 'self-harm/intent': 1.2065980214970295e-08, 'self_harm': 3.85355036769397e-08, 'self_harm_instructions': 1.7139167596269544e-07, 'self_harm_intent': 1.2065980214970295e-08, 'sexual': 4.449604148248909e-06, 'sexual/minors': 3.122384669040912e-06, 'sexual_minors': 3.122384669040912e-06, 'violence': 2.593505769254989e-06, 'violence/graphic': 8.079515282588545e-06, 'violence_graphic': 8.079515282588545e-06}, 'flagged': False}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  {'categories': {'harassment': False, 'harassment/threatening': False, 'harassment_threatening': False, 'hate': False, 'hate/threatening': False, 'hate_threatening': False, 'self-harm': False, 'self-harm/instructions': False, 'self-harm/intent': False, 'self_harm': False, 'self_harm_instructions': False, 'self_harm_intent': False, 'sexual': False, 'sexual/minors': False, 'sexual_minors': False, 'violence': False, 'violence/graphic': False, 'violence_graphic': False}, 'category_scores': {'harassment': 2.92286654257623e-06, 'harassment/threatening': 5.985253324070072e-07, 'harassment_threatening': 5.985253324070072e-07, 'hate': 2.811634089994186e-07, 'hate/threatening': 6.0383783306861e-08, 'hate_threatening': 6.0383783306861e-08, 'self-harm': 2.3786467409081524e-06, 'self-harm/instructions': 6.486665711236128e-07, 'self-harm/intent': 4.283118073544756e-07, 'self_harm': 2.3786467409081524e-06, 'self_harm_instructions': 6.486665711236128e-07, 'self_harm_intent': 4.283118073544756e-07, 'sexual': 0.00025812280364334583, 'sexual/minors': 1.9366400010767393e-05, 'sexual_minors': 1.9366400010767393e-05, 'violence': 1.9368837456568144e-05, 'violence/graphic': 5.39523534826003e-05, 'violence_graphic': 5.39523534826003e-05}, 'flagged': False}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  {'categories': {'harassment': False, 'harassment/threatening': False, 'harassment_threatening': False, 'hate': False, 'hate/threatening': False, 'hate_threatening': False, 'self-harm': False, 'self-harm/instructions': False, 'self-harm/intent': False, 'self_harm': False, 'self_harm_instructions': False, 'self_harm_intent': False, 'sexual': False, 'sexual/minors': False, 'sexual_minors': False, 'violence': False, 'violence/graphic': False, 'violence_graphic': False}, 'category_scores': {'harassment': 3.80704341296223e-06, 'harassment/threatening': 2.0724769456137437e-07, 'harassment_threatening': 2.0724769456137437e-07, 'hate': 7.27229689800879e-07, 'hate/threatening': 4.8549164688438395e-08, 'hate_threatening': 4.8549164688438395e-08, 'self-harm': 8.951248986477367e-08, 'self-harm/instructions': 3.151649607957552e-08, 'self-harm/intent': 3.459140316408593e-07, 'self_harm': 8.951248986477367e-08, 'self_harm_instructions': 3.151649607957552e-08, 'self_harm_intent': 3.459140316408593e-07, 'sexual': 4.769815495819785e-05, 'sexual/minors': 2.2353320673573762e-05, 'sexual_minors': 2.2353320673573762e-05, 'violence': 1.1875213203893509e-05, 'violence/graphic': 3.2035645745054353e-06, 'violence_graphic': 3.2035645745054353e-06}, 'flagged': False}]"        ,"[{'identity_attack': 0.00010440470941830426, 'insult': 0.0004065890097990632, 'obscene': 0.00030107726342976093, 'severe_toxicity': 3.2116749935084954e-05, 'sexual_explicit': 3.978894164902158e-05, 'threat': 3.827354157692753e-05, 'toxicity': 0.0010552894091233611}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       {'identity_attack': 7.718179404037073e-05, 'insult': 0.00021839588589500636, 'obscene': 0.00017521466361358762, 'severe_toxicity': 2.7582262191572227e-05, 'sexual_explicit': 2.558475716796238e-05, 'threat': 3.505329368636012e-05, 'toxicity': 0.0003655919572338462}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       {'identity_attack': 0.00025954199372790754, 'insult': 0.0005979628185741603, 'obscene': 0.0007744372705928981, 'severe_toxicity': 0.00012004658492514864, 'sexual_explicit': 7.876528979977593e-05, 'threat': 9.91040506050922e-05, 'toxicity': 0.0003784560249187052}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       {'identity_attack': 0.00010927232506219298, 'insult': 0.00043736008228734136, 'obscene': 0.00040429492946714163, 'severe_toxicity': 4.993971742806025e-05, 'sexual_explicit': 4.235152664477937e-05, 'threat': 4.639920371118933e-05, 'toxicity': 0.0003343340358696878}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       {'identity_attack': 0.0002086724853143096, 'insult': 0.0009604037622921169, 'obscene': 0.002489937236532569, 'severe_toxicity': 0.0001924457319546491, 'sexual_explicit': 0.00019158414215780795, 'threat': 0.00016633541963528842, 'toxicity': 0.0012960636522620916}
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       {'identity_attack': 0.0001233232906088233, 'insult': 0.0002856780483853072, 'obscene': 0.00032958007068373263, 'severe_toxicity': 4.309037103666924e-05, 'sexual_explicit': 3.786797242355533e-05, 'threat': 4.494312088354491e-05, 'toxicity': 0.0003635481116361916}]"      ,FALSE ,FALSE    ,British Columbia ,Canada        ,3de3bed6fe12ad7e730de5568b8a31bc07918185ae27f5a5306f5de382ed9f60 ,"{'accept-language': 'en-US,en;q=0.5', 'user-agent': 'Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0'}"                                                                                                                                         ,y
